id,technology,status_code,status_ar,phase,priority,dependencies,owner_role,shared_track,evidence_refs,evidence_paths,gap_or_extension,acceptance_test,integration_snapshot,primary_package,package_anchor,execution_state
A044,Guardrails,P,جزئي أو أساس قريب,R1,P0,R0,Security + Platform,بوابة تنفيذ وعزل وهوية موحدة,"E01,E17",packages/identity/index.js;packages/crypto/index.js;packages/capability/index.js;packages/policy/src/rules.js;packages/protocol/index.js;packages/ast/index.js;tests/capability.test.js;tests/endpoint.test.js;tests/security.test.js;tools/celia-dashboard-server.mjs;tools/check-metrics.mjs;packages/cells/celia/ultimate/src/egress-proxy.js,تغطية حدود التطبيق لا الاكتفاء بمرشحات نصية,اختبارات تجاوز مباشرة وغير مباشرة تفشل بلا أثر خارجي,CONNECTED_LIMITED,P04,nexa-execution-plan.ar.md#p04,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A045,Policy Engine,M,موجود محليًا محدود,R1,P0,R0,Security + Platform,بوابة تنفيذ وعزل وهوية موحدة,E01,packages/identity/index.js;packages/crypto/index.js;packages/capability/index.js;packages/policy/src/rules.js;packages/protocol/index.js;packages/ast/index.js;tests/capability.test.js;tests/endpoint.test.js;tests/security.test.js,الحفاظ على default-deny وإعادة استخدام المحرك في كل route,ALLOW لا يفتح hard gate مغلقًا؛ السياسة قابلة لإعادة التحقق,CONNECTED_LIMITED,P04,nexa-execution-plan.ar.md#p04,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A046,Authorization Engine,P,جزئي أو أساس قريب,R1,P0,R0,Security + Platform,بوابة تنفيذ وعزل وهوية موحدة,"E01,E09",packages/identity/index.js;packages/crypto/index.js;packages/capability/index.js;packages/policy/src/rules.js;packages/protocol/index.js;packages/ast/index.js;tests/capability.test.js;tests/endpoint.test.js;tests/security.test.js;tools/celia-workspace-write-auth.mjs;tools/celia-workspace-commit-auth.mjs;tools/celia-workspace-commit-port.mjs;tools/celia-commit-consumption-store.mjs;tools/celia-workspace-port.mjs;tests/celia-workspace-commit-hardening.test.js;tests/celia-workspace-commit-persistence.test.js;docs/celia-workspace-commit-h1-persistence.ar.md,تعميم المسار الصحيح على create/rollback وبقية mutations,401/403 يحافظان على الملفات؛ تفويض صحيح محدود فقط ينجح,CONNECTED_LIMITED,P04,nexa-execution-plan.ar.md#p04,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A047,Capability System,M,موجود محليًا محدود,R1,P0,R0,Security + Platform,بوابة تنفيذ وعزل وهوية موحدة,E01,packages/identity/index.js;packages/crypto/index.js;packages/capability/index.js;packages/policy/src/rules.js;packages/protocol/index.js;packages/ast/index.js;tests/capability.test.js;tests/endpoint.test.js;tests/security.test.js,القدرات الحالية أساس موحد لا يعاد اختراعه,تفويض متناقص فقط واختبارات منع amplification,CONNECTED_LIMITED,P04,nexa-execution-plan.ar.md#p04,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A048,Capability Tokens,M,موجود محليًا محدود,R1,P0,R0,Security + Platform,بوابة تنفيذ وعزل وهوية موحدة,E01,packages/identity/index.js;packages/crypto/index.js;packages/capability/index.js;packages/policy/src/rules.js;packages/protocol/index.js;packages/ast/index.js;tests/capability.test.js;tests/endpoint.test.js;tests/security.test.js,الحفاظ على التوقيع والنطاق والزمن وحدود الاستخدام,رفض تزوير أو issuer غير موثوق أو audience أو state خاطئ,CONNECTED_LIMITED,P04,nexa-execution-plan.ar.md#p04,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A049,RBAC,P,جزئي أو أساس قريب,R1,P0,R0,Security + Platform,بوابة تنفيذ وعزل وهوية موحدة,E14,packages/cells/google/identity/src/verify.js;packages/cells/google/identity/src/bindings.js;packages/cells/google/gateway/src/approvals.js;packages/cells/google/gateway/src/limiter.js;packages/cells/google/gateway/src/vault.js;packages/cells/google/gateway/src/scan.js;packages/cells/google/gateway/src/classes.js;tests/google-gateway.test.js;tests/google-binding.test.js,توسيع owner/admin bindings إلى إدارة أدوار التطبيق,الدور وحده لا ينفذ أثرًا دون capability وسياسة,NOT_CONNECTED,P04,nexa-execution-plan.ar.md#p04,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A050,ABAC,P,جزئي أو أساس قريب,R1,P0,R0,Security + Platform,بوابة تنفيذ وعزل وهوية موحدة,"E01,E14",packages/identity/index.js;packages/crypto/index.js;packages/capability/index.js;packages/policy/src/rules.js;packages/protocol/index.js;packages/ast/index.js;tests/capability.test.js;tests/endpoint.test.js;tests/security.test.js;packages/cells/google/identity/src/verify.js;packages/cells/google/identity/src/bindings.js;packages/cells/google/gateway/src/approvals.js;packages/cells/google/gateway/src/limiter.js;packages/cells/google/gateway/src/vault.js;packages/cells/google/gateway/src/scan.js;packages/cells/google/gateway/src/classes.js;tests/google-gateway.test.js;tests/google-binding.test.js,سمات موثوقة مثل ownership والمخاطر مع قواعد محددة,لا تُقبل سمة صلاحية يصرح بها العميل بنفسه,NOT_CONNECTED,P04,nexa-execution-plan.ar.md#p04,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A051,ACL,P,جزئي أو أساس قريب,R1,P0,R0,Security + Platform,بوابة تنفيذ وعزل وهوية موحدة,"E01,E08",packages/identity/index.js;packages/crypto/index.js;packages/capability/index.js;packages/policy/src/rules.js;packages/protocol/index.js;packages/ast/index.js;tests/capability.test.js;tests/endpoint.test.js;tests/security.test.js;tools/celia-memory-port.mjs;tools/celia-vector-port.mjs;supabase/migrations/20260920_celia_memory_init.sql;supabase/migrations/20260921_pgvector.sql,توحيد subjects/resource rules مع ملكية البيانات,مصفوفة allow/deny وتغير الملكية تبطل وصول المالك السابق,NOT_CONNECTED,P04,nexa-execution-plan.ar.md#p04,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A052,Zero Trust,P,جزئي أو أساس قريب,R1,P0,R0,Security + Platform,بوابة تنفيذ وعزل وهوية موحدة,"E01,E09",packages/identity/index.js;packages/crypto/index.js;packages/capability/index.js;packages/policy/src/rules.js;packages/protocol/index.js;packages/ast/index.js;tests/capability.test.js;tests/endpoint.test.js;tests/security.test.js;tools/celia-workspace-write-auth.mjs;tools/celia-workspace-commit-auth.mjs;tools/celia-workspace-commit-port.mjs;tools/celia-commit-consumption-store.mjs;tools/celia-workspace-port.mjs;tests/celia-workspace-commit-hardening.test.js;tests/celia-workspace-commit-persistence.test.js;docs/celia-workspace-commit-h1-persistence.ar.md,إغلاق فجوات أدوات Celia خارج خط النواة المحمي,لا مسار جانبي مباشر يتجاوز gateway أو identity,NOT_CONNECTED,P04,nexa-execution-plan.ar.md#p04,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A053,Sandboxing,D,ديمو/محاكاة,R1,P0,R0,Security + Platform,بوابة تنفيذ وعزل وهوية موحدة,E20,packages/cells/celia/ultimate/src/wasm-sandbox.js;tools/permission-proof.mjs;tools/permission-probe.mjs,WASM demo ليس عزلًا؛ اختيار container/microVM/WASI فعلي,اختبارات escape وشبكة وfilesystem وCPU/process limits,BLOCKED,P05,nexa-execution-plan.ar.md#p05,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A054,Secure Execution,P,جزئي أو أساس قريب,R1,P0,R0,Security + Platform,بوابة تنفيذ وعزل وهوية موحدة,"E09,E20",tools/celia-workspace-write-auth.mjs;tools/celia-workspace-commit-auth.mjs;tools/celia-workspace-commit-port.mjs;tools/celia-commit-consumption-store.mjs;tools/celia-workspace-port.mjs;tests/celia-workspace-commit-hardening.test.js;tests/celia-workspace-commit-persistence.test.js;docs/celia-workspace-commit-h1-persistence.ar.md;packages/cells/celia/ultimate/src/wasm-sandbox.js;tools/permission-proof.mjs;tools/permission-probe.mjs,دمج تفويض فعلي مع OS isolation وضوابط الموارد,حزمة عدائية لا تقرأ أسرار المضيف ولا تؤثر خارج sandbox,BLOCKED,P05,nexa-execution-plan.ar.md#p05,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A055,Human-in-the-Loop,P,جزئي أو أساس قريب,R1,P0,R0,Security + Platform,بوابة تنفيذ وعزل وهوية موحدة,"E11,E14",packages/cells/celia/learning/src/data.js;packages/cells/celia/learning/src/models.js;tools/celia-learning-store.mjs;tools/celia-learning.mjs;tests/celia-learning.test.js;docs/celia-adaptive-learning.ar.md;packages/cells/google/identity/src/verify.js;packages/cells/google/identity/src/bindings.js;packages/cells/google/gateway/src/approvals.js;packages/cells/google/gateway/src/limiter.js;packages/cells/google/gateway/src/vault.js;packages/cells/google/gateway/src/scan.js;packages/cells/google/gateway/src/classes.js;tests/google-gateway.test.js;tests/google-binding.test.js,مراجعات موجودة؛ ربط التنفيذ بهوية وموافقة موثقة محددة,الموافقة على patch X لا تجيز Y ولا تعاد بعد expiry,CONDITIONAL_LOCAL_DATA,P04,nexa-execution-plan.ar.md#p04,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A056,Human-on-the-Loop,P,جزئي أو أساس قريب,R2,P1,R1,Backend + Data + SRE,حالة وبيانات وتشغيل دائم,E17,tools/celia-dashboard-server.mjs;tools/check-metrics.mjs;packages/cells/celia/ultimate/src/egress-proxy.js,لوحة حالة حقيقية وتنبيه وإلغاء بدل mock dashboard,يرى المشغل الحالة الصحيحة ويوقف آثارًا مستقبلية ضمن مهلة,NOT_CONNECTED,P06,nexa-execution-plan.ar.md#p06,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A057,Approval Gates,P,جزئي أو أساس قريب,R1,P0,R0,Security + Platform,بوابة تنفيذ وعزل وهوية موحدة,"E05,E14",packages/runtime/src/machine.js;packages/runtime/src/authority.js;packages/runtime/src/session.js;packages/runtime/src/healer.js;packages/runtime/src/breaker.js;tests/omega-runtime.test.js;packages/cells/google/identity/src/verify.js;packages/cells/google/identity/src/bindings.js;packages/cells/google/gateway/src/approvals.js;packages/cells/google/gateway/src/limiter.js;packages/cells/google/gateway/src/vault.js;packages/cells/google/gateway/src/scan.js;packages/cells/google/gateway/src/classes.js;tests/google-gateway.test.js;tests/google-binding.test.js,توحيد approvals مع digest الخطة والاستهلاك الدائم,رفض replay/restart وcross-operation للموافقة,NOT_CONNECTED,P04,nexa-execution-plan.ar.md#p04,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A058,Execution Gateway,P,جزئي أو أساس قريب,R1,P0,R0,Security + Platform,بوابة تنفيذ وعزل وهوية موحدة,"E01,E04,E09",packages/identity/index.js;packages/crypto/index.js;packages/capability/index.js;packages/policy/src/rules.js;packages/protocol/index.js;packages/ast/index.js;tests/capability.test.js;tests/endpoint.test.js;tests/security.test.js;packages/cells/celia/planner/src/grok.js;packages/cells/celia/executor/src/executor.js;packages/cells/celia/executor/src/tool-registry.js;packages/cells/celia/executor/src/adaptive-dag.js;tools/dag-executor.mjs;tools/celia-workspace-write-auth.mjs;tools/celia-workspace-commit-auth.mjs;tools/celia-workspace-commit-port.mjs;tools/celia-commit-consumption-store.mjs;tools/celia-workspace-port.mjs;tests/celia-workspace-commit-hardening.test.js;tests/celia-workspace-commit-persistence.test.js;docs/celia-workspace-commit-h1-persistence.ar.md,بوابة واحدة إلزامية للأدوات والخدمات وكل routes,قائمة منافذ مكتملة واختبار لكل محاولة bypass,BLOCKED,P04,nexa-execution-plan.ar.md#p04,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A059,Action Verification,P,جزئي أو أساس قريب,R1,P0,R0,Security + Platform,بوابة تنفيذ وعزل وهوية موحدة,E09,tools/celia-workspace-write-auth.mjs;tools/celia-workspace-commit-auth.mjs;tools/celia-workspace-commit-port.mjs;tools/celia-commit-consumption-store.mjs;tools/celia-workspace-port.mjs;tests/celia-workspace-commit-hardening.test.js;tests/celia-workspace-commit-persistence.test.js;docs/celia-workspace-commit-h1-persistence.ar.md,تحقق preconditions وpostconditions وأثر خارج العملية,رفض حالة stale وإثبات الأثر الفعلي لا تقرير الأداة فقط,BLOCKED,P04,nexa-execution-plan.ar.md#p04,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A060,Provenance Tracking,P,جزئي أو أساس قريب,R2,P1,R1,Backend + Data + SRE,حالة وبيانات وتشغيل دائم,"E10,E11",packages/evidence/index.js;packages/runtime/src/ledger.js;packages/cells/celia/executor/src/event-sourcing.js;tests/evidence.test.js;packages/cells/celia/learning/src/data.js;packages/cells/celia/learning/src/models.js;tools/celia-learning-store.mjs;tools/celia-learning.mjs;tests/celia-learning.test.js;docs/celia-adaptive-learning.ar.md,ربط sources/prompts/models/patches/results بمعرفات ثابتة,تتبع النتيجة إلى المصدر والإصدار دون تضمين أسرار,CONNECTED_LIMITED,P06,nexa-execution-plan.ar.md#p06,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A061,Evidence Ledger,P,جزئي أو أساس قريب,R2,P1,R1,Backend + Data + SRE,حالة وبيانات وتشغيل دائم,E10,packages/evidence/index.js;packages/runtime/src/ledger.js;packages/cells/celia/executor/src/event-sourcing.js;tests/evidence.test.js,الـhash-chain حقيقية محليًا؛ يلزم durable receipts كاملة,إعادة تحقق مستقلة بعد restart وكشف تعديل أو فقد سجل,CONNECTED_LIMITED,P06,nexa-execution-plan.ar.md#p06,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A062,Audit Trail,P,جزئي أو أساس قريب,R2,P1,R1,Backend + Data + SRE,حالة وبيانات وتشغيل دائم,"E10,E17",packages/evidence/index.js;packages/runtime/src/ledger.js;packages/cells/celia/executor/src/event-sourcing.js;tests/evidence.test.js;tools/celia-dashboard-server.mjs;tools/check-metrics.mjs;packages/cells/celia/ultimate/src/egress-proxy.js,تغطية كل قرار وإدارة احتفاظ ووصول للسجل,لا نجاح أو رفض حساس بلا سجل مترابط ومقنن المحتوى,NOT_CONNECTED,P06,nexa-execution-plan.ar.md#p06,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A063,Cryptographic Signing,M,موجود محليًا محدود,R1,P0,R0,Security + Platform,بوابة تنفيذ وعزل وهوية موحدة,"E01,E10",packages/identity/index.js;packages/crypto/index.js;packages/capability/index.js;packages/policy/src/rules.js;packages/protocol/index.js;packages/ast/index.js;tests/capability.test.js;tests/endpoint.test.js;tests/security.test.js;packages/evidence/index.js;packages/runtime/src/ledger.js;packages/cells/celia/executor/src/event-sourcing.js;tests/evidence.test.js,إعادة استخدام Ed25519 مع دورة مفاتيح لا توقيع ML مصطنع,تحقق مستقل وتدوير وسحب مع رفض التوقيع القديم حسب السياسة,CONNECTED_LIMITED,P04,nexa-execution-plan.ar.md#p04,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A064,Hash Chaining,M,موجود محليًا محدود,R2,P1,R1,Backend + Data + SRE,حالة وبيانات وتشغيل دائم,E10,packages/evidence/index.js;packages/runtime/src/ledger.js;packages/cells/celia/executor/src/event-sourcing.js;tests/evidence.test.js,إعادة استخدام chain القياسية؛ لا ترقيتها لوعد منع حذف إداري,كشف تعديل/حذف ضمن anchor موثوق واختبار الاستعادة,CONNECTED_LIMITED,P06,nexa-execution-plan.ar.md#p06,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A065,Replay Protection,P,جزئي أو أساس قريب,R0,P0,baseline/H1,Systems + Security,فصل الاستهلاك والتطبيق والتعافي,"E01,E09",packages/identity/index.js;packages/crypto/index.js;packages/capability/index.js;packages/policy/src/rules.js;packages/protocol/index.js;packages/ast/index.js;tests/capability.test.js;tests/endpoint.test.js;tests/security.test.js;tools/celia-workspace-write-auth.mjs;tools/celia-workspace-commit-auth.mjs;tools/celia-workspace-commit-port.mjs;tools/celia-commit-consumption-store.mjs;tools/celia-workspace-port.mjs;tests/celia-workspace-commit-hardening.test.js;tests/celia-workspace-commit-persistence.test.js;docs/celia-workspace-commit-h1-persistence.ar.md,H1 دائم لـCOMMIT؛ بقية الحدود تحتاج durability مستقلة,restart وABA وطلب جديد بمنحة مستهلكة تُرفض مع قبول منحة جديدة,NOT_CONNECTED,P03,nexa-execution-plan.ar.md#p03,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A066,Idempotency,N,غير ظاهر في نطاق الفحص,R2,P1,R1,Backend + Data + SRE,حالة وبيانات وتشغيل دائم,"E00,E09",tools/celia-workspace-write-auth.mjs;tools/celia-workspace-commit-auth.mjs;tools/celia-workspace-commit-port.mjs;tools/celia-commit-consumption-store.mjs;tools/celia-workspace-port.mjs;tests/celia-workspace-commit-hardening.test.js;tests/celia-workspace-commit-persistence.test.js;docs/celia-workspace-commit-h1-persistence.ar.md,فصل إعادة النتيجة نفسها عن رفض replay ومنع الأثر المكرر,timeout وإعادة الطلب يعيدان النتيجة الموثقة دون إعادة التنفيذ,NOT_CONNECTED,P06,nexa-execution-plan.ar.md#p06,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A067,Transaction Manager,P,جزئي أو أساس قريب,R0,P0,baseline/H1,Systems + Security,فصل الاستهلاك والتطبيق والتعافي,E09,tools/celia-workspace-write-auth.mjs;tools/celia-workspace-commit-auth.mjs;tools/celia-workspace-commit-port.mjs;tools/celia-commit-consumption-store.mjs;tools/celia-workspace-port.mjs;tests/celia-workspace-commit-hardening.test.js;tests/celia-workspace-commit-persistence.test.js;docs/celia-workspace-commit-h1-persistence.ar.md,H2 RED؛ اختيار عقد atomicity وتنفيذ apply قابل للتعافي,فشل الملف الثاني لا يترك root جزئيًا مع بقاء اختبار H2 نفسه,BLOCKED,P01,nexa-execution-plan.ar.md#p01,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A068,Rollback System,P,جزئي أو أساس قريب,R0,P0,baseline/H1,Systems + Security,فصل الاستهلاك والتطبيق والتعافي,"E09,E12",tools/celia-workspace-write-auth.mjs;tools/celia-workspace-commit-auth.mjs;tools/celia-workspace-commit-port.mjs;tools/celia-commit-consumption-store.mjs;tools/celia-workspace-port.mjs;tests/celia-workspace-commit-hardening.test.js;tests/celia-workspace-commit-persistence.test.js;docs/celia-workspace-commit-h1-persistence.ar.md;packages/evolution/src/manifest.js;packages/evolution/src/gate.js;packages/evolution/src/registry.js;packages/cellular-evolution/index.js;tests/omega-evolution.test.js,فصل rollback لإصدارات البيانات عن آثار root الفعلية,تراجع محدد الصلاحية لا يمحو تعديلات خارجية أو ledger الاستهلاك,BLOCKED,P01,nexa-execution-plan.ar.md#p01,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A069,Checkpointing,P,جزئي أو أساس قريب,R2,P1,R1,Backend + Data + SRE,حالة وبيانات وتشغيل دائم,"E10,E12",packages/evidence/index.js;packages/runtime/src/ledger.js;packages/cells/celia/executor/src/event-sourcing.js;tests/evidence.test.js;packages/evolution/src/manifest.js;packages/evolution/src/gate.js;packages/evolution/src/registry.js;packages/cellular-evolution/index.js;tests/omega-evolution.test.js,snapshots محلية موجودة؛ يلزم checkpoint دائم متسق,SIGKILL ثم resume بلا تكرار آثار أو استعادة grants مستهلكة,NOT_CONNECTED,P06,nexa-execution-plan.ar.md#p06,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A070,State Machine,M,موجود محليًا محدود,R2,P1,R1,Backend + Data + SRE,حالة وبيانات وتشغيل دائم,"E05,E13",packages/runtime/src/machine.js;packages/runtime/src/authority.js;packages/runtime/src/session.js;packages/runtime/src/healer.js;packages/runtime/src/breaker.js;tests/omega-runtime.test.js;packages/cell/src/lifecycle.js;packages/cell/src/health.js;packages/cell/src/homeostasis.js;packages/cell/src/membrane.js;packages/cell/src/tissue.js;packages/cell/src/organism.js;tests/cellular.test.js,توحيد حالات المهمة مع cell lifecycle الموجود,رفض transitions غير المسموحة واستعادة حالة متطابقة,NOT_CONNECTED,P06,nexa-execution-plan.ar.md#p06,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A071,Event Sourcing,P,جزئي أو أساس قريب,R2,P1,R1,Backend + Data + SRE,حالة وبيانات وتشغيل دائم,E10,packages/evidence/index.js;packages/runtime/src/ledger.js;packages/cells/celia/executor/src/event-sourcing.js;tests/evidence.test.js,سجل Celia في الذاكرة؛ إضافة أحداث versioned وreplay آمن,إعادة بناء الحالة بلا إعادة تنفيذ الآثار وبلا إعادة ترقيم history,NOT_CONNECTED,P06,nexa-execution-plan.ar.md#p06,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A072,Event Bus,P,جزئي أو أساس قريب,R2,P1,R1,Backend + Data + SRE,حالة وبيانات وتشغيل دائم,"E13,E22",packages/cell/src/lifecycle.js;packages/cell/src/health.js;packages/cell/src/homeostasis.js;packages/cell/src/membrane.js;packages/cell/src/tissue.js;packages/cell/src/organism.js;tests/cellular.test.js;packages/cells/celia/infinite/src/actor-mailbox.js,قنوات محلية موجودة؛ يلزم delivery contract وتوثيق منتجين,ordering وbackpressure ورفض حدث من منتج غير مأذون,NOT_CONNECTED,P06,nexa-execution-plan.ar.md#p06,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A073,Message Queue,P,جزئي أو أساس قريب,R2,P1,R1,Backend + Data + SRE,حالة وبيانات وتشغيل دائم,E22,packages/cells/celia/infinite/src/actor-mailbox.js,mailbox محلي لا durable queue؛ إضافة leases وDLQ,قتل worker يعيد المهمة بأمان دون آثار مكررة,NOT_CONNECTED,P06,nexa-execution-plan.ar.md#p06,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A074,Task Scheduler,P,جزئي أو أساس قريب,R2,P1,R1,Backend + Data + SRE,حالة وبيانات وتشغيل دائم,E04,packages/cells/celia/planner/src/grok.js;packages/cells/celia/executor/src/executor.js;packages/cells/celia/executor/src/tool-registry.js;packages/cells/celia/executor/src/adaptive-dag.js;tools/dag-executor.mjs,توسيع DAG إلى تشغيل دائم مع cancellation وleases,توقف/عودة worker مع fairness وعدم تشغيل مهمة مرتين,NOT_CONNECTED,P06,nexa-execution-plan.ar.md#p06,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A075,Priority Queue,P,جزئي أو أساس قريب,R2,P1,R1,Backend + Data + SRE,حالة وبيانات وتشغيل دائم,E22,packages/cells/celia/infinite/src/actor-mailbox.js,أولوية محلية موجودة؛ يلزم aging وحدود لكل tenant,المهام منخفضة الأولوية لا تجوع تحت حمل مستمر,NOT_CONNECTED,P06,nexa-execution-plan.ar.md#p06,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A076,Retry Engine,P,جزئي أو أساس قريب,R2,P1,R1,Backend + Data + SRE,حالة وبيانات وتشغيل دائم,"E05,E14",packages/runtime/src/machine.js;packages/runtime/src/authority.js;packages/runtime/src/session.js;packages/runtime/src/healer.js;packages/runtime/src/breaker.js;tests/omega-runtime.test.js;packages/cells/google/identity/src/verify.js;packages/cells/google/identity/src/bindings.js;packages/cells/google/gateway/src/approvals.js;packages/cells/google/gateway/src/limiter.js;packages/cells/google/gateway/src/vault.js;packages/cells/google/gateway/src/scan.js;packages/cells/google/gateway/src/classes.js;tests/google-gateway.test.js;tests/google-binding.test.js,تصنيف retries وتنسيقها مع idempotency وquota,لا retry لـ403؛ احترام Retry-After وdeadlines,NOT_CONNECTED,P06,nexa-execution-plan.ar.md#p06,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A077,Circuit Breaker,M,موجود محليًا محدود,R2,P1,R1,Backend + Data + SRE,حالة وبيانات وتشغيل دائم,"E05,E13",packages/runtime/src/machine.js;packages/runtime/src/authority.js;packages/runtime/src/session.js;packages/runtime/src/healer.js;packages/runtime/src/breaker.js;tests/omega-runtime.test.js;packages/cell/src/lifecycle.js;packages/cell/src/health.js;packages/cell/src/homeostasis.js;packages/cell/src/membrane.js;packages/cell/src/tissue.js;packages/cell/src/organism.js;tests/cellular.test.js,الـbreaker المحلي موجود؛ تعميمه على الموصلات الفعلية,فتح وhalf-open وتعافٍ حتمي بلا تجاوز للتفويض,NOT_CONNECTED,P06,nexa-execution-plan.ar.md#p06,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A078,Rate Limiting,P,جزئي أو أساس قريب,R1,P0,R0,Security + Platform,بوابة تنفيذ وعزل وهوية موحدة,E14,packages/cells/google/identity/src/verify.js;packages/cells/google/identity/src/bindings.js;packages/cells/google/gateway/src/approvals.js;packages/cells/google/gateway/src/limiter.js;packages/cells/google/gateway/src/vault.js;packages/cells/google/gateway/src/scan.js;packages/cells/google/gateway/src/classes.js;tests/google-gateway.test.js;tests/google-binding.test.js,limiter Google موجود؛ يلزم per-user/provider/gateway controls,burst وتزامن ومستخدمان مستقلان مع عدم تجاوز الحدود,NOT_CONNECTED,P04,nexa-execution-plan.ar.md#p04,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A079,Budget Controller,P,جزئي أو أساس قريب,R3,P1,R1;R2,Integrations + Platform,موصلات وتوجيه وسياق,"E05,E14",packages/runtime/src/machine.js;packages/runtime/src/authority.js;packages/runtime/src/session.js;packages/runtime/src/healer.js;packages/runtime/src/breaker.js;tests/omega-runtime.test.js;packages/cells/google/identity/src/verify.js;packages/cells/google/identity/src/bindings.js;packages/cells/google/gateway/src/approvals.js;packages/cells/google/gateway/src/limiter.js;packages/cells/google/gateway/src/vault.js;packages/cells/google/gateway/src/scan.js;packages/cells/google/gateway/src/classes.js;tests/google-gateway.test.js;tests/google-binding.test.js,ميزانيات محلية موجودة؛ ربطها بتكلفة provider الفعلية,حجز قبل الطلب وتسوية الفاتورة ومنع الصرف الموازي الزائد,CONNECTED_LIMITED,P10,nexa-execution-plan.ar.md#p10,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A080,Token Budgeting,P,جزئي أو أساس قريب,R3,P1,R1;R2,Integrations + Platform,موصلات وتوجيه وسياق,"E25,E05",packages/cells/celia/dsl/src/ctxql.js;packages/cells/celia/dsl/src/flow-dsl.js;packages/cells/celia/dsl/src/caplang.js;packages/cells/celia/dsl/src/replay-dsl.js;packages/runtime/src/machine.js;packages/runtime/src/authority.js;packages/runtime/src/session.js;packages/runtime/src/healer.js;packages/runtime/src/breaker.js;tests/omega-runtime.test.js,حدود وصفية موجودة؛ يلزم tokenizer وusage provider,توقع وحد فعلي للـinput/output وعدم إسقاط سياق الأمان,NOT_CONNECTED,P10,nexa-execution-plan.ar.md#p10,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A081,Resource Governor,P,جزئي أو أساس قريب,R1,P0,R0,Security + Platform,بوابة تنفيذ وعزل وهوية موحدة,"E13,E20",packages/cell/src/lifecycle.js;packages/cell/src/health.js;packages/cell/src/homeostasis.js;packages/cell/src/membrane.js;packages/cell/src/tissue.js;packages/cell/src/organism.js;tests/cellular.test.js;packages/cells/celia/ultimate/src/wasm-sandbox.js;tools/permission-proof.mjs;tools/permission-probe.mjs,حدود منطقية ليست cgroups؛ فرض حدود OS فعلية,قياس وقت/ذاكرة/عمليات وإيقاف العمل المتجاوز,NOT_CONNECTED,P05,nexa-execution-plan.ar.md#p05,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A082,Health Monitoring,M,موجود محليًا محدود,R2,P1,R1,Backend + Data + SRE,حالة وبيانات وتشغيل دائم,E13,packages/cell/src/lifecycle.js;packages/cell/src/health.js;packages/cell/src/homeostasis.js;packages/cell/src/membrane.js;packages/cell/src/tissue.js;packages/cell/src/organism.js;tests/cellular.test.js,Health/homeostasis موجودان؛ ربطهما بموصلات حقيقية,الفشل يعزل المورد والتعافي يحتاج probe ناجحًا,NOT_CONNECTED,P06,nexa-execution-plan.ar.md#p06,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
